Proportional Size,Avg All-Band Accuracy,Avg All-Band Times (seconds),Avg RGB Accuracy,Avg RGB Times (seconds),Sample Sizes:
0.1,0.564796667,3.277395463,0.59852,1.862524978,30
0.2,0.655743333,11.20583411,0.651713333,5.09790887,30
0.3,0.708643333,23.80144222,0.688453333,9.877886931,30
0.4,0.749416667,38.79465228,0.722903333,16.72855716,30
0.5,0.770373333,57.6610448,0.748536667,24.12128137,30
0.6,0.808473333,78.62558316,0.772533333,33.34429871,30
0.7,0.832306667,98.19967577,0.78254,41.80204076,30
0.8,0.849053333,123.5387466,0.806506667,53.10487064,30
0.9,0.860373333,149.9452166,0.81987,64.87418927,30
